net,length_um
clknet_leaf_193_clk,96.72
clknet_leaf_62_clk,96.4
clknet_leaf_31_clk,96.36
rf.regs\[19\]\[5\],96.23
alu_inst._184_,96.22
rf._03978_,96.14
rf._02435_,96.02
rf._03606_,96.02
rf._01237_,96
rf._04184_,95.96
rf._02614_,95.84
rf._01079_,95.78
rf._04724_,95.62
rf._03502_,95.58
rf._04512_,95.48
rf._04542_,95.44
clknet_leaf_155_clk,95.215
rf._01508_,95.1
rf._02107_,95.09
rf._04325_,95.04
clknet_leaf_87_clk,94.14
rf._04231_,94
rf.regs\[30\]\[7\],93.92
rf._01889_,93.44
clknet_leaf_179_clk,92.84
rf._03555_,92.68
clknet_leaf_77_clk,92.64
net37,92.58
rf._01944_,91.84
clknet_leaf_90_clk,91.8
clknet_leaf_12_clk,91.52
rf.rd2\[30\],91.38
clknet_leaf_110_clk,91.28
rf._01996_,91.18
rf._03256_,90.8
rf._03392_,90.6
clknet_leaf_170_clk,90.36
rf._01728_,90.3
rf._02468_,90.22
rf._04371_,90.04
rf._02052_,90
clknet_leaf_131_clk,89.96
rf._03338_,89.82
rf._04383_,89.595
rf._02280_,89.5
rf._03283_,89.4
rf._04395_,89.32
rf._03924_,89.28
rf._03282_,89.2
rf._04058_,89.08
rf._04440_,89.04
clknet_leaf_115_clk,88.86
rf._03124_,88.82
clknet_leaf_141_clk,88.82
rf._03657_,88.64
rf._03930_,88.42
rf._04136_,88.34
rf._03947_,88.28
clknet_leaf_76_clk,88.24
clknet_leaf_26_clk,88.22
rf._03871_,87.76
rf._02108_,87.74
clknet_leaf_187_clk,87.7
rf._01444_,87.68
rf._03073_,87.66
rf._03872_,87.62
clknet_leaf_95_clk,87.6
clknet_leaf_157_clk,87.56
clknet_leaf_72_clk,86.92
rf._01614_,86.82
clknet_leaf_160_clk,86.64
alu_inst._148_,86.6
rf._04393_,86.54
rf._03770_,86.46
rf._02419_,86.34
rf._04137_,85.88
clknet_leaf_83_clk,85.875
clknet_leaf_25_clk,85.74
clknet_leaf_142_clk,85.56
rf._03339_,85.42
rf._02615_,85.26
rf._03923_,84.76
clknet_leaf_138_clk,84.68
rf._02970_,84.6
rf._04010_,84.5
clknet_leaf_47_clk,83.89
rf._03683_,83.68
rf._03605_,83.06
rf._04301_,83.06
rf._03663_,83.04
rf.regs\[29\]\[2\],83
rf._03046_,82.9
clknet_leaf_81_clk,82.82
rf._03364_,82.74
clknet_leaf_156_clk,82.54
rf._03398_,82.46
rf._03986_,82.42
rf._03232_,82.38
rf._03454_,82.38
